Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career
Master's,Finance,"Data Analysis, Python",Mental Health Basics,63,Sales Assistant
Bachelor's,Arts,"Marketing, Accounting, SQL",AWS Certified,79,Software Engineer
PhD,Commerce,"MS Office, Accounting",CFA Level 1,71,Research Scientist
PhD,Psychology,"Marketing, Counseling",Digital Marketing,78,School Counselor
PhD,Commerce,"Marketing, MS Office, Accounting",CFA Level 1,71,Marketing Executive
Intermediate,Business,"Data Analysis, SQL, Marketing",Mental Health Basics,62,Financial Analyst
Master's,Finance,"Financial Analysis, Marketing",Tally ERP,70,Business Analyst
Master's,Commerce,Python,Google Data Analytics,79,Data Entry Operator
Bachelor's,Finance,"Counseling, Python",Tally ERP,82,Software Engineer
Master's,Arts,Counseling,None,82,Research Scientist
Master's,Business,Data Analysis,Tally ERP,94,Marketing Executive
Bachelor's,Engineering,"Financial Analysis, Marketing",Google Data Analytics,70,Sales Assistant
Matric,Finance,"Financial Analysis, SQL",Digital Marketing,93,Marketing Executive
PhD,Science,"Communication, Marketing",Creative Writing,86,Business Analyst
Intermediate,Finance,Python,Creative Writing,88,Marketing Executive
Master's,Computer Science,"Counseling, Marketing, Machine Learning",None,92,Business Analyst
Matric,Business,"Python, Accounting",CFA Level 1,93,Data Entry Operator
Master's,Engineering,"Python, Data Analysis, Communication",CFA Level 1,67,Sales Assistant
PhD,Finance,Communication,Mental Health Basics,61,Marketing Executive
PhD,Psychology,"SQL, Machine Learning, MS Office",Google Data Analytics,82,School Counselor
Intermediate,Commerce,"MS Office, Python, Counseling",CFA Level 1,79,Junior Accountant
Bachelor's,Engineering,"Machine Learning, Marketing, Financial Analysis",AWS Certified,71,Research Scientist
Bachelor's,Engineering,Counseling,Creative Writing,60,Research Scientist
Bachelor's,Science,"Data Analysis, Python",CFA Level 1,84,ML Engineer
Bachelor's,Engineering,Python,Google Data Analytics,61,Software Engineer
Master's,Commerce,"Machine Learning, Marketing, Data Analysis",AWS Certified,62,Software Engineer
Intermediate,Commerce,"Counseling, Python",Google Data Analytics,87,Sales Assistant
Master's,Science,Data Analysis,Mental Health Basics,78,Software Engineer
Bachelor's,Engineering,SQL,Google Data Analytics,63,ML Engineer
PhD,Arts,"MS Office, Machine Learning, Counseling",Mental Health Basics,87,Software Engineer
Bachelor's,Computer Science,Financial Analysis,CFA Level 1,67,Professor
Bachelor's,Engineering,"Communication, Python, Counseling",AWS Certified,87,Marketing Executive
PhD,Engineering,Accounting,Digital Marketing,71,Professor
Bachelor's,Computer Science,"Accounting, Communication",Digital Marketing,73,Data Entry Operator
Matric,Business,SQL,None,62,Sales Assistant
PhD,Computer Science,"Marketing, Python",None,61,Sales Assistant
Matric,Computer Science,Counseling,Tally ERP,74,Sales Assistant
Matric,Science,"SQL, Financial Analysis",CFA Level 1,66,Marketing Executive
Intermediate,Commerce,"Accounting, MS Office, SQL",Mental Health Basics,65,Business Analyst
PhD,Engineering,"Accounting, SQL, MS Office",None,63,ML Engineer
Master's,Arts,Communication,None,84,Data Entry Operator
Intermediate,Commerce,Accounting,Tally ERP,66,Sales Assistant
Bachelor's,Arts,"SQL, Counseling, MS Office",Google Data Analytics,61,Professor
Bachelor's,Business,Machine Learning,Tally ERP,85,Junior Accountant
Matric,Arts,"Data Analysis, Marketing",Tally ERP,77,School Counselor
Bachelor's,Arts,"Counseling, Accounting, Data Analysis",CFA Level 1,93,Junior Accountant
Matric,Commerce,"MS Office, Marketing",Creative Writing,90,Business Analyst
Master's,Arts,"MS Office, Python",Digital Marketing,67,Professor
Matric,Psychology,"Machine Learning, Financial Analysis, Python",Tally ERP,74,Financial Analyst
Intermediate,Commerce,"Accounting, Python, Counseling",None,70,Data Entry Operator
Master's,Computer Science,"Python, Counseling",Tally ERP,63,Financial Analyst
Matric,Science,"Data Analysis, Accounting, MS Office",AWS Certified,86,ML Engineer
Bachelor's,Psychology,"Machine Learning, Communication",Creative Writing,72,Sales Assistant
Matric,Psychology,Data Analysis,None,65,ML Engineer
PhD,Commerce,Financial Analysis,Digital Marketing,60,Software Engineer
Intermediate,Science,Machine Learning,AWS Certified,73,Data Entry Operator
Master's,Psychology,"Financial Analysis, Communication",Creative Writing,93,Financial Analyst
PhD,Psychology,"MS Office, Communication, Python",None,91,Research Scientist
Matric,Commerce,"Counseling, Financial Analysis, Marketing",Creative Writing,93,School Counselor
Master's,Commerce,Communication,Creative Writing,84,Junior Accountant
Master's,Commerce,"Communication, Accounting, Data Analysis",Tally ERP,61,Financial Analyst
Intermediate,Psychology,"Financial Analysis, Machine Learning",Mental Health Basics,73,Junior Accountant
Bachelor's,Computer Science,"MS Office, SQL, Counseling",Creative Writing,79,Marketing Executive
Bachelor's,Science,"MS Office, Financial Analysis, Communication",Digital Marketing,65,Clerk
Matric,Business,"SQL, Financial Analysis, Python",Tally ERP,75,Research Scientist
Bachelor's,Arts,Accounting,Mental Health Basics,88,School Counselor
Master's,Psychology,Counseling,Creative Writing,89,Professor
Master's,Science,Data Analysis,CFA Level 1,69,Data Entry Operator
Matric,Finance,SQL,Creative Writing,71,Professor
Intermediate,Finance,Accounting,CFA Level 1,90,Professor
Bachelor's,Commerce,"Machine Learning, Accounting",Google Data Analytics,65,Junior Accountant
PhD,Business,"SQL, Accounting",Google Data Analytics,86,Financial Analyst
PhD,Arts,"Python, Communication",CFA Level 1,89,Sales Assistant
Intermediate,Business,"MS Office, Counseling, SQL",None,87,Junior Accountant
Master's,Arts,MS Office,CFA Level 1,92,Marketing Executive
Matric,Business,Counseling,AWS Certified,76,Data Entry Operator
PhD,Finance,"Financial Analysis, Data Analysis, Communication",Mental Health Basics,68,Business Analyst
Intermediate,Science,"Marketing, Communication",None,87,Marketing Executive
Master's,Computer Science,"Counseling, Data Analysis",Google Data Analytics,73,Financial Analyst
Intermediate,Engineering,"Marketing, Machine Learning, Counseling",Tally ERP,94,Marketing Executive
PhD,Engineering,"Accounting, Data Analysis",AWS Certified,71,Research Scientist
Master's,Arts,Accounting,Mental Health Basics,76,Sales Assistant
Master's,Computer Science,"Python, Communication, SQL",CFA Level 1,72,Research Scientist
PhD,Business,Python,Creative Writing,75,Sales Assistant
Intermediate,Science,Financial Analysis,AWS Certified,90,Software Engineer
Master's,Psychology,Financial Analysis,Tally ERP,67,Software Engineer
Matric,Science,Communication,None,63,Business Analyst
Matric,Commerce,"Marketing, Communication, Financial Analysis",Creative Writing,79,Junior Accountant
Master's,Finance,"MS Office, Python, Counseling",Digital Marketing,64,Marketing Executive
Master's,Computer Science,"Accounting, Machine Learning",None,87,School Counselor
Matric,Arts,"Machine Learning, Financial Analysis",Tally ERP,66,Business Analyst
Master's,Business,Counseling,Digital Marketing,63,School Counselor
Intermediate,Engineering,Data Analysis,Tally ERP,80,Business Analyst
Matric,Science,Machine Learning,Tally ERP,63,Financial Analyst
Bachelor's,Commerce,"Python, Accounting",Mental Health Basics,72,Financial Analyst
Bachelor's,Arts,SQL,Digital Marketing,83,Professor
Intermediate,Science,"Marketing, Accounting, Python",CFA Level 1,82,Junior Accountant
Intermediate,Computer Science,"SQL, Accounting, Python",None,62,Software Engineer
Bachelor's,Science,"SQL, Communication, Financial Analysis",Mental Health Basics,63,ML Engineer
Matric,Psychology,"Marketing, Machine Learning, Python",AWS Certified,84,Marketing Executive
PhD,Psychology,Marketing,Creative Writing,82,Professor
Master's,Computer Science,"Communication, Data Analysis",None,76,Software Engineer
Matric,Commerce,"Counseling, Financial Analysis, Marketing",CFA Level 1,70,Professor
Master's,Computer Science,"Marketing, Accounting",CFA Level 1,87,Professor
Bachelor's,Business,"Communication, Counseling",Digital Marketing,68,ML Engineer
Matric,Arts,"MS Office, Accounting",Tally ERP,83,Marketing Executive
PhD,Business,Data Analysis,CFA Level 1,88,Marketing Executive
Master's,Computer Science,Marketing,Tally ERP,78,ML Engineer
Matric,Engineering,"Accounting, Counseling, SQL",Tally ERP,60,Research Scientist
PhD,Psychology,MS Office,Creative Writing,64,Clerk
Intermediate,Arts,"Communication, SQL",Google Data Analytics,84,Data Entry Operator
Bachelor's,Computer Science,"Counseling, Financial Analysis",Tally ERP,74,Research Scientist
Intermediate,Finance,"Counseling, Data Analysis",AWS Certified,60,Clerk
Intermediate,Finance,"MS Office, SQL",Creative Writing,89,Junior Accountant
Master's,Psychology,"Accounting, Counseling",AWS Certified,70,Software Engineer
Intermediate,Engineering,Marketing,Google Data Analytics,76,Professor
PhD,Finance,"Financial Analysis, SQL, Python",Digital Marketing,95,Financial Analyst
Bachelor's,Computer Science,"Counseling, Communication",Tally ERP,90,Software Engineer
Matric,Business,"Accounting, Counseling",AWS Certified,74,Sales Assistant
Intermediate,Business,"Machine Learning, Financial Analysis",Digital Marketing,66,Junior Accountant
Matric,Engineering,Communication,Mental Health Basics,64,ML Engineer
Master's,Science,"Data Analysis, Communication, Machine Learning",None,86,Software Engineer
Matric,Psychology,"Financial Analysis, SQL",Digital Marketing,83,Research Scientist
Intermediate,Finance,Data Analysis,None,83,Clerk
Matric,Arts,"MS Office, Communication, SQL",CFA Level 1,85,Data Entry Operator
Matric,Psychology,"Communication, Counseling",Creative Writing,85,Research Scientist
Intermediate,Engineering,"Python, SQL, Accounting",Tally ERP,79,Data Entry Operator
Matric,Arts,"Machine Learning, Counseling",Creative Writing,90,Financial Analyst
PhD,Science,"Machine Learning, Communication",AWS Certified,87,Professor
Master's,Business,"Marketing, Counseling, Machine Learning",Digital Marketing,93,Business Analyst
Master's,Business,"Python, Machine Learning, SQL",None,82,Sales Assistant
Matric,Commerce,"MS Office, Data Analysis, Accounting",Tally ERP,72,Business Analyst
Matric,Science,Python,Google Data Analytics,70,Business Analyst
Intermediate,Psychology,"Counseling, SQL, Financial Analysis",Creative Writing,77,Professor
Master's,Finance,"Accounting, SQL",Mental Health Basics,86,ML Engineer
Bachelor's,Engineering,Communication,Tally ERP,63,Business Analyst
Master's,Arts,"Communication, Machine Learning, SQL",Google Data Analytics,77,Professor
PhD,Finance,"Data Analysis, Counseling, Financial Analysis",CFA Level 1,79,Research Scientist
PhD,Finance,"Machine Learning, Financial Analysis, Marketing",None,88,Data Entry Operator
PhD,Arts,"Marketing, MS Office",Tally ERP,75,Sales Assistant
Master's,Engineering,"Communication, Marketing, Counseling",Mental Health Basics,65,Research Scientist
Master's,Business,"Machine Learning, Financial Analysis",Creative Writing,71,School Counselor
Bachelor's,Commerce,Python,AWS Certified,60,Sales Assistant
PhD,Finance,Data Analysis,AWS Certified,66,Professor
Master's,Science,"SQL, Financial Analysis",Google Data Analytics,61,Junior Accountant
Master's,Engineering,Python,CFA Level 1,71,Business Analyst
Bachelor's,Arts,"Accounting, Data Analysis, MS Office",Tally ERP,93,Sales Assistant
Matric,Commerce,Marketing,Tally ERP,75,Sales Assistant
Bachelor's,Computer Science,"Counseling, Financial Analysis",Digital Marketing,73,Clerk
Intermediate,Finance,"Machine Learning, SQL",Mental Health Basics,71,School Counselor
Matric,Finance,Python,AWS Certified,73,Business Analyst
Bachelor's,Science,"Communication, Financial Analysis, MS Office",Mental Health Basics,74,Marketing Executive
PhD,Business,"SQL, Marketing",Digital Marketing,69,School Counselor
Master's,Science,"MS Office, Python, Financial Analysis",CFA Level 1,83,Research Scientist
Master's,Engineering,"Financial Analysis, Data Analysis",CFA Level 1,91,Data Entry Operator
Matric,Finance,Communication,AWS Certified,78,Junior Accountant
Intermediate,Engineering,"Accounting, MS Office, Marketing",CFA Level 1,71,Sales Assistant
Bachelor's,Psychology,"SQL, Marketing, Financial Analysis",Mental Health Basics,90,Financial Analyst
Master's,Arts,"Python, Financial Analysis",Tally ERP,72,Marketing Executive
Intermediate,Computer Science,"MS Office, Counseling, Accounting",None,71,Junior Accountant
Matric,Engineering,"Counseling, Data Analysis, MS Office",CFA Level 1,65,Junior Accountant
Intermediate,Psychology,"Data Analysis, SQL",None,87,Software Engineer
Bachelor's,Psychology,"Accounting, Counseling, SQL",Digital Marketing,83,Marketing Executive
Bachelor's,Engineering,"Counseling, Python, Communication",Mental Health Basics,87,School Counselor
Master's,Psychology,"Python, Communication, Data Analysis",CFA Level 1,90,Research Scientist
Master's,Computer Science,Python,Digital Marketing,81,Clerk
Matric,Psychology,"Communication, Counseling, Python",None,89,Research Scientist
Intermediate,Arts,"Python, Communication, Accounting",AWS Certified,93,Marketing Executive
PhD,Psychology,Machine Learning,CFA Level 1,66,Professor
Intermediate,Arts,"Machine Learning, Data Analysis",Google Data Analytics,62,Clerk
Bachelor's,Computer Science,"SQL, Data Analysis",Mental Health Basics,61,School Counselor
Intermediate,Arts,"Accounting, Marketing, MS Office",Creative Writing,94,Financial Analyst
PhD,Engineering,Accounting,None,63,Financial Analyst
Intermediate,Commerce,"Machine Learning, Financial Analysis, MS Office",Tally ERP,79,Financial Analyst
Master's,Arts,"Marketing, Accounting",Creative Writing,81,Junior Accountant
Matric,Science,Marketing,Creative Writing,63,Business Analyst
PhD,Arts,Marketing,Digital Marketing,75,ML Engineer
PhD,Finance,Financial Analysis,Tally ERP,67,School Counselor
PhD,Computer Science,"MS Office, SQL, Counseling",Mental Health Basics,77,Business Analyst
Intermediate,Engineering,"Communication, Financial Analysis",None,70,Financial Analyst
Master's,Engineering,"Machine Learning, Financial Analysis",Mental Health Basics,66,Financial Analyst
Intermediate,Engineering,Marketing,CFA Level 1,89,School Counselor
PhD,Business,Accounting,None,78,Research Scientist
Intermediate,Arts,"Counseling, SQL",Creative Writing,71,School Counselor
Matric,Commerce,Accounting,CFA Level 1,88,ML Engineer
Master's,Finance,MS Office,Digital Marketing,63,Clerk
Intermediate,Science,"SQL, Python, MS Office",None,94,Business Analyst
Matric,Arts,Counseling,CFA Level 1,63,Business Analyst
PhD,Engineering,"Python, Data Analysis, Counseling",None,91,Sales Assistant
Intermediate,Science,"Machine Learning, Counseling",CFA Level 1,73,Marketing Executive
Bachelor's,Finance,Data Analysis,Digital Marketing,83,Financial Analyst
Matric,Commerce,"Marketing, Accounting, SQL",AWS Certified,72,Junior Accountant
Intermediate,Science,"Data Analysis, MS Office",AWS Certified,91,Marketing Executive
Matric,Engineering,Financial Analysis,Creative Writing,83,Software Engineer
Master's,Commerce,SQL,Digital Marketing,65,School Counselor
Intermediate,Engineering,"Marketing, Communication",Digital Marketing,77,Financial Analyst
Master's,Psychology,"Financial Analysis, Counseling, Communication",AWS Certified,65,Software Engineer
Bachelor's,Arts,Python,Creative Writing,61,Professor
Matric,Business,"Financial Analysis, Data Analysis",Tally ERP,93,Research Scientist
